endereco,preco,area,quartos,banheiros,garagens
"Plano Diretor Sul, Palmas",340000,135,3,2,2
"Plano Diretor Sul, Palmas",260000,80,2,2,2
"Quadra ARSO 111 Alameda 24, Plano Diretor Sul",390000,102,3,2,2
"ARSO 54 Alameda 8, Plano Diretor Sul",380000,127,3,2,2
"Plano Diretor Sul, Palmas",650000,214,3,2,2
"ACNO 1 Avenida LO 2, Plano Diretor Norte",450000,160,3,3,2
"Plano Diretor Norte, Palmas",450000,300,3,2,0
"Plano Diretor Sul, Palmas",290000,60,2,2,2
"Plano Diretor Sul, Palmas",550000,249,4,4,3
"Plano Diretor Sul, Palmas",600000,108,3,2,2
"Plano Diretor Sul, Palmas",417000,184,3,3,3
"Plano Diretor Norte, Palmas",280000,81,2,1,2
"Plano Diretor Sul, Palmas",585000,110,3,3,3
"Plano Diretor Sul, Palmas",530000,164,3,3,2
"Plano Diretor Sul, Palmas",360000,100,3,2,2
"ARNE 12 Alameda 13, Plano Diretor Norte",685000,220,4,2,4
"Plano Diretor Sul, Palmas",195000,137,2,2,1
"Quadra ARSE 131 Rua 20, Plano Diretor Sul",350000,138,3,3,3
"Jardim Aureny III, Palmas",140000,110,2,1,0
"Plano Diretor Sul, Palmas",280000,300,2,2,2
"Plano Diretor Sul, Palmas",460000,213,3,3,2
"Quadra ARSE 141 Alameda 1, Plano Diretor Sul",360000,101,3,2,2
"Plano Diretor Norte, Palmas",699000,127,3,2,2
"Plano Diretor Norte, Palmas",1350000,415,4,4,4
"Plano Diretor Expansao Sul, Palmas",630000,126,3,1,3
"ARSO 54 Avenida LO 11, Plano Diretor Sul",680000,163,3,4,2
"ARSO 42 Alameda 5, Plano Diretor Sul",680000,157,3,3,2
"Plano Diretor Sul, Palmas",1100000,180,3,4,3
"Plano Diretor Norte, Palmas",1110000,289,4,4,4
"Plano Diretor Sul, Palmas",850000,360,3,3,4
"Plano Diretor Sul, Palmas",750000,232,4,4,4
"Plano Diretor Sul, Palmas",339000,80,3,2,2
"Plano Diretor Sul, Palmas",630000,149,3,3,0
"Plano Diretor Norte, Palmas",240000,120,3,2,1
"ARSE 14 Alameda 13, Plano Diretor Sul",850000,154,3,4,2
"ARSO 42 Alameda 5, Plano Diretor Sul",720000,135,3,2,1
"Plano Diretor Sul, Palmas",580000,124,3,2,2
"ARSO 23 Alameda 1, Plano Diretor Sul",550000,240,4,4,3
"Plano Diretor Sul, Palmas",460000,140,3,2,2
"Quadra ARSE 101 Alameda 6, Plano Diretor Sul",550000,126,3,4,2
"ARSE 14 Alameda 5, Plano Diretor Sul",350000,94,2,3,2
"Plano Diretor Sul, Palmas",520000,103,3,2,0
"Quadra ARNO 23 Alameda 122, Plano Diretor Norte",650000,402,6,6,6
"Quadra ARSO 52 Alameda 35, Plano Diretor Sul",520000,103,3,2,2
"Plano Diretor Sul, Palmas",280000,150,2,2,4
"Quadra ARSO 101 Alameda 1, Plano Diretor Sul",360000,180,3,2,2
"Plano Diretor Sul, Palmas",450000,95,3,2,2
"ARSO 23 Alameda 4, Plano Diretor Sul",550000,240,3,1,3
"Plano Diretor Norte, Palmas",450000,140,3,2,3
"Plano Diretor Sul, Palmas",520000,111,3,2,2
"Plano Diretor Sul, Palmas",450000,148,3,2,2
"Quadra ARSO 52 Alameda 2, Plano Diretor Sul",880000,360,3,2,4
"Plano Diretor Sul, Palmas",470000,105,3,3,2
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",480000,120,3,2,3
"Plano Diretor Sul, Palmas",530000,116,3,1,2
"Quadra ARNE 54 Alameda 1, Plano Diretor Norte",850000,193,3,3,2
"Loteamento Caribe, Palmas",2700000,240,3,5,0
"Plano Diretor Norte, Palmas",449000,120,3,2,2
"Plano Diretor Norte, Palmas",385000,300,3,2,2
"Rua 12, Jardim Aureny II",185000,75,2,2,2
"ARSO 54 Alameda 8, Plano Diretor Sul",680000,163,3,4,2
"Quadra ARSE 121 Alameda 8, Plano Diretor Sul",370000,140,3,2,4
"Plano Diretor Sul, Palmas",280000,186,2,2,2
"Plano Diretor Norte, Palmas",550000,320,3,4,4
"Plano Diretor Sul, Palmas",650000,150,3,3,0
"Quadra ARSE 141 Alameda 12, Plano Diretor Sul",350000,96,3,2,2
"Quadra ARSE 111 Alameda 12, Plano Diretor Sul",220000,86,2,2,1
"Plano Diretor Sul, Palmas",420000,158,3,2,2
"Plano Diretor Sul, Palmas",640000,150,3,2,2
"Quadra ARSE 92 Alameda 1, Plano Diretor Sul",565000,133,3,3,2
"Plano Diretor Sul, Palmas",320000,200,3,1,2
"Quadra ACSE 1 Rua de Pedestre SE 3, Plano Diretor Sul",265000,70,2,2,2
"Plano Diretor Sul, Palmas",650000,195,3,2,3
"Quadra ARSO 151 QI 35, Plano Diretor Sul",590000,132,3,3,2
"Plano Diretor Sul, Palmas",680000,158,3,2,2
"Plano Diretor Sul, Palmas",550000,120,3,4,0
"Plano Diretor Sul, Palmas",460000,213,3,2,3
"Plano Diretor Sul, Palmas",530000,175,3,3,2
"Quadra ARSO 151 QI 35, Plano Diretor Sul",340000,89,3,2,3
"Plano Diretor Sul, Palmas",550000,260,3,3,2
"ARSO 62 Alameda 38, Plano Diretor Sul",580000,160,3,2,2
"Plano Diretor Sul, Palmas",599000,365,3,3,0
"ARSO 14 Avenida NS 9, Plano Diretor Sul",3100000,343,4,5,4
"Plano Diretor Norte, Palmas",650000,360,3,2,3
"Quadra ARSO 52 Alameda 3, Plano Diretor Sul",920000,167,3,3,2
"Plano Diretor Sul, Palmas",695000,158,3,3,0
"Plano Diretor Sul, Palmas",550000,175,3,2,4
"Quadra ARNE 71 Alameda 4, Plano Diretor Norte",550000,116,3,2,2
"ARSO 31 Alameda 3, Plano Diretor Sul",1300000,300,4,5,2
"Plano Diretor Sul, Palmas",770000,177,4,5,2
"Plano Diretor Norte, Palmas",550000,300,4,3,3
"Quadra ARNO 42 Alameda 13, Plano Diretor Norte",400000,160,3,3,3
"Plano Diretor Sul, Palmas",320000,95,2,2,1
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",549999,96,3,2,2
"Quadra ARNE 51 Alameda 10, Plano Diretor Norte",350000,84,2,2,2
"ARSO 64 Avenida LO 13, Plano Diretor Sul",540000,120,3,3,2
"Plano Diretor Sul, Palmas",650000,155,3,2,3
"Plano Diretor Sul, Palmas",390000,115,3,2,2
"Quadra ARSO 101 Alameda 3, Plano Diretor Sul",420000,110,3,3,2
"Plano Diretor Sul, Palmas",270000,65,2,2,0
"Loteamento Caribe, Palmas",1300000,177,3,4,4
"Quadra ARSO 151 QI 35, Plano Diretor Sul",340000,89,3,2,2
"Quadra ARSO 111 Alameda 1, Plano Diretor Sul",384900,103,3,2,2
"Quadra ARSO 151 QI 20, Plano Diretor Sul",590000,145,3,3,3
"Plano Diretor Sul, Palmas",650000,150,3,3,0
"Plano Diretor Sul, Palmas",395000,108,3,2,3
"Plano Diretor Sul, Palmas",762048,148,3,3,2
"Plano Diretor Sul, Palmas",629000,125,3,2,3
"Plano Diretor Sul, Palmas",975000,195,4,5,3
"Plano Diretor Sul, Palmas",290000,80,2,2,3
"ARSO 53 Alameda 1, Plano Diretor Sul",645000,155,3,3,4
"Plano Diretor Sul, Palmas",360000,115,3,2,2
"ARSO 54 Alameda 8, Plano Diretor Sul",649000,129,3,3,4
"Plano Diretor Sul, Palmas",360000,97,3,2,2
"Plano Diretor Sul, Palmas",580000,136,3,2,2
"Plano Diretor Sul, Palmas",680000,163,3,4,4
"Quadra ARSE 111 Alameda 12, Plano Diretor Sul",1650000,210,3,3,2
"Plano Diretor Sul, Palmas",360000,86,3,2,0
"Quadra ARNE 61 Alameda 2, Plano Diretor Norte",295000,100,3,2,4
"Plano Diretor Sul, Palmas",550000,249,4,4,2
"Plano Diretor Sul, Palmas",630000,125,3,2,2
"Plano Diretor Sul, Palmas",240000,78,2,2,1
"Plano Diretor Norte, Palmas",450000,142,3,2,3
"Quadra ARSO 151 QI 35, Plano Diretor Sul",340000,89,3,2,2
"Jardim Janaina Taquaralto, Palmas",160000,80,2,2,0
"Plano Diretor Sul, Palmas",420000,240,4,3,4
"Plano Diretor Norte, Palmas",340000,89,3,2,0
"Plano Diretor Sul, Palmas",390000,130,3,2,1
"Plano Diretor Sul, Palmas",460000,236,3,2,2
"ARSO 62 Alameda 16, Plano Diretor Sul",500000,107,3,2,2
"Plano Diretor Sul, Palmas",180000,52,2,2,1
"Plano Diretor Sul, Palmas",695000,145,3,5,0
"Plano Diretor Sul, Palmas",550000,116,3,2,2
"Plano Diretor Sul, Palmas",540000,120,3,3,2
"Plano Diretor Sul, Palmas",580000,116,3,2,2
"Quadra ARSE 62 Alameda Dejanira, Plano Diretor Sul",665000,230,4,3,4
"Plano Diretor Norte, Palmas",570000,124,3,2,2
"Plano Diretor Sul, Palmas",430000,160,3,3,0
"Área Rural de Palmas, Area Rural de Palmas",500000,180,3,3,0
"Plano Diretor Sul, Palmas",350000,92,3,1,2
"Quadra ARSE 111 Alameda 10, Plano Diretor Sul",235000,58,2,2,1
"Plano Diretor Sul, Palmas",1450000,334,3,4,3
"Plano Diretor Sul, Palmas",550000,124,3,4,0
"Plano Diretor Norte, Palmas",460000,180,3,2,2
"Avenida I, Jardim Aureny III",300000,107,3,2,0
"Plano Diretor Sul, Palmas",1000000,260,5,4,2
"Quadra ARSE 82 Alameda 8, Plano Diretor Sul",350000,120,3,2,3
"Quadra ARSO 151 QI 34, Plano Diretor Sul",340000,70,3,2,1
"Plano Diretor Sul, Palmas",680000,163,3,3,2
"ARSO 32 Rua 1 A, Plano Diretor Sul",420000,100,3,3,2
"Plano Diretor Sul, Palmas",410000,109,3,2,2
"ARSO 54 Alameda 8, Plano Diretor Sul",800000,230,3,3,3
"Plano Diretor Sul, Palmas",740000,150,3,3,3
"Plano Diretor Sul, Palmas",650000,195,3,2,3
"Quadra ARSE 102 Alameda 2, Plano Diretor Sul",750000,240,4,3,3
"Quadra ARSO 52 Alameda 25, Plano Diretor Sul",530000,103,3,2,2
"ARSO 61 Alameda 10, Plano Diretor Sul",739000,247,3,3,2
"Plano Diretor Sul, Palmas",890000,214,4,4,0
"Plano Diretor Norte, Palmas",998000,157,3,3,2
"Plano Diretor Sul, Palmas",600000,140,3,3,4
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",920000,177,3,3,2
"Plano Diretor Sul, Palmas",325000,200,3,2,3
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",530000,120,3,3,2
"Plano Diretor Sul, Palmas",400000,112,3,2,3
"Plano Diretor Sul, Palmas",480000,148,3,2,2
"ARSO 42 Alameda 15, Plano Diretor Sul",720000,166,3,1,0
"Plano Diretor Norte, Palmas",565000,130,3,2,4
